,Title,Published_date,Views,Likes,Favorite,Month
0,Rapid Prototyping by Dr. N Venkatachalapathi,2022-06-19,4,1,0,Jun
1,Extrusion by Dr. N Venkatachalapathi,2022-06-19,1,0,0,Jun
2,Waste Management – Swatch Bharat Abhiyan by Dr. Shikha Pandey,2022-06-19,1,0,0,Jun
3,Problems on Modulus of Elasticity by Dr. K Viswanath Allamraju,2022-06-18,10,1,0,Jun
4,Blood Donation Camp in Association with Red Cross Society @ IARE 2022,2022-06-18,56,3,0,Jun
5,Strain by Dr. K Viswanath Allamraju,2022-06-18,7,1,0,Jun
6,Mining Complex type of Data by Ms. Priyanka Gupta,2022-06-18,3,0,0,Jun
7,Introduction to 8051 Microcontroller by Prof. VR Seshagiri Rao,2022-06-18,9,0,0,Jun
8,Problems on Applications of frequent Pattern Mining Methods by Ms. Priyanka Gupta,2022-06-18,3,0,0,Jun
9,Decision   Making - Discussion on Tutorial Question Bank by Ms. S Veena,2022-06-18,11,3,0,Jun
10,Rolling Processes by Dr. N Venkatachalapathi,2022-06-18,4,0,0,Jun
11,Problem Solving Skills Discussion of Tutorial Question Bank -3 by Ms. S Veena,2022-06-17,9,2,0,Jun
12,"Importance of Etiquette in Social, Personal and Professional Communication QB - 2 by Ms. S Veena",2022-06-17,14,2,0,Jun
13,Electro Chemical Corrosion by Ms. B Sravanthi,2022-06-17,36,4,0,Jun
14,Forging Processes by Dr. N Venkatachalapathi,2022-06-17,9,0,0,Jun
15,Conversation of water  development of Watersheds & Rain Water Harvesting by Dr. Shikha Pandey,2022-06-17,6,0,0,Jun
16,Types of Stresses by Dr. K Viswanath Allamraju,2022-06-16,15,2,0,Jun
17,Basic Concept for Aerodynamics by Mr. Indradeep Kumar,2022-06-16,44,8,0,Jun
18,Soft Skills for Difficult Situations by Ms. S Veena,2022-06-16,14,2,0,Jun
19,Dry Corrosion or Chemical Corrosion by Ms. B Sravanthi,2022-06-16,33,4,0,Jun
20,Distortion in Amplifiers by Mr. S Lakshmanachari,2022-06-15,33,1,0,Jun
21,Windows Characteristics by Dr. S China Venkateswarlu,2022-06-15,20,1,0,Jun
22,"Environmental Pollution, Control Technologies, Global Environmental Problems-QB by Dr. Shikha Pandey",2022-06-15,14,1,0,Jun
23,Environmental Legislation and Sustainable Development - Question Bank by Dr. Shikha Pandey,2022-06-15,5,1,0,Jun
24,Parks – McClellan Algorithm to Design an FIR by Dr. S China Venkateswarlu,2022-06-15,12,2,0,Jun
25,The Usage of Modifiers by Ms. S Veena,2022-06-15,14,1,0,Jun
26,Concept of Concurrent Execution by Mr. Y Manohar Reddy,2022-06-15,4,0,0,Jun
27,Concept of Transaction Management by Mr. Y Manohar Reddy,2022-06-15,6,0,0,Jun
28,Design of FIR Filters  FIR as a Class of LTI Filters by Dr. S China Venkateswarlu,2022-06-14,14,0,0,Jun
29,Introduction to IIR Filters by Ms. S Sushma,2022-06-14,14,0,0,Jun
30,Primary Batteries by Ms. B Sravanthi,2022-06-14,26,3,0,Jun
31,Secondary Batteries by Ms. B Sravanthi,2022-06-14,21,3,0,Jun
32,Verbal Communication or Written Communication by Ms. S Veena,2022-06-14,2,1,0,Jun
33,Introduction and Classification of Amplifiers by Mr. S Lakshmanachari,2022-06-14,16,0,0,Jun
34,Normal Forms in DBMS by Mr. Y Manohar Reddy,2022-06-14,5,0,0,Jun
35,Functional Dependency in DBMS by Mr. Y Manohar Reddy,2022-06-14,4,0,0,Jun
36,Concoct 2022  An Institute Level Project Expo | 13 June 2022 | Day 02| at IARE,2022-06-13,77,3,0,Jun
37,Outcome Based Education (OBE) by Dr. K Viswanath Allamraju,2022-06-13,9,0,0,Jun
